"Address","City","Zip","Type","HOA","List","PPSF","Beds","Baths","Sqft","YearBuilt","DOM","EstARV@175","OpeningOffer","MAO_est","Flags","AgentName","AgentPhone","AgentEmail","RedfinURL","MLS"
"522 Glencairn Dr","Dallas","75232","single_family_residential","0","144900","117","3","2","1236","1961","287","216300","86500","98000","","","","","https://www.redfin.com/TX/Dallas/522-Glencairn-Dr-75232/home/30938324","21016771"
"665 Cedarcliff Dr","Dallas","75217","single_family_residential","0","249500","156","4","2","1600","1957","236","280000","132500","151000","","","","","https://www.redfin.com/TX/Dallas/665-Cedarcliff-Dr-75217/home/30924907","21082752"
"6451 Moonhill Dr","Dallas","75241","single_family_residential","0","154300","103","4","1.5","1499","1971","91","262325","106500","121000","","","","","https://www.redfin.com/TX/Dallas/6451-Moonhill-Dr-75241/home/31091502","21210918"
"6017 Shady Valley Ct","Garland","75043","single_family_residential","0","299000","174","3","2","1723","1983","90","301525","143500","163000","","","","","https://www.redfin.com/TX/Garland/6017-Shady-Valley-Ct-75043/home/31492526","21162356"
"6525 Palm Island St","Dallas","75241","single_family_residential","0","160000","89","4","2","1790","1972","55","313250","129000","146500","","","","","https://www.redfin.com/TX/Dallas/6525-Palm-Island-St-75241/home/30946884","21247981"
"5056 Urban Ave","Dallas","75227","single_family_residential","0","239900","132","3","2","1817","2000","49","317975","152000","172500","","","","","https://www.redfin.com/TX/Dallas/5056-Urban-Ave-75227/home/32213474","21251764"
"2502 E Overton Rd","Dallas","75216","single_family_residential","0","158999","149","3","2","1064","1952","46","186200","85500","97000","","","","","https://www.redfin.com/TX/Dallas/2502-E-Overton-Rd-75216/home/30887753","21257125"
"1214 E Waco Ave","Dallas","75216","single_family_residential","0","299000","156","3","2","1918","1939","31","335650","161000","183000","","","","","https://www.redfin.com/TX/Dallas/1214-E-Waco-Ave-75216/home/30829612","21271059"
"3016 Loganwood","Dallas","75227","single_family_residential","0","234950","158","3","2","1484","1952","30","259700","122500","139000","","","","","https://www.redfin.com/TX/Dallas/3016-Loganwood-Dr-75227/home/30906381","21273283"
"3102 Kellogg Ave","Dallas","75216","single_family_residential","0","140000","177","2","1","792","1950","19","138600","61000","69500","","","","","https://www.redfin.com/TX/Dallas/3102-Kellogg-Ave-75216/home/30904339","21282395"
"4755 Nome St","Dallas","75216","single_family_residential","0","130000","119","2","2","1092","1940","19","191100","75500","85500","","","","","https://www.redfin.com/TX/Dallas/4755-Nome-St-75216/home/31041177","21282335"
"3155 E Ledbetter Dr","Dallas","75216","single_family_residential","0","169900","121","3","2","1400","1955","15","245000","99000","112500","","","","","https://www.redfin.com/TX/Dallas/3155-E-Ledbetter-Dr-75216/home/30886421","21286319"
"631 Cove Hollow Dr","Dallas","75224","single_family_residential","0","194900","139","3","2","1404","1965","11","245700","115500","131000","","","","","https://www.redfin.com/TX/Dallas/631-Cove-Hollow-Dr-75224/home/30894644","21293370"
"1115 S Glasgow Dr #2 #2","Dallas","75223","condo_coop","0","214900","300","2","2","716","1947","204","125300","54500","62000","HOA-condo_coop; likely-renovated(no spread)","","","","https://www.redfin.com/TX/Dallas/1115-S-Glasgow-Dr-75223/unit-2/home/182762802","21120019"
"5335 Bent Tree Forest Dr #119 #119","Dallas","75248","single_family_residential","220","144900","185","1","1.5","783","1981","88","137025","60500","68500","HOA-single_family_residential","","","","https://www.redfin.com/TX/Dallas/5335-Bent-Tree-Forest-Dr-75248/unit-119/home/31131903","21212148"
"7832 Royal Ln #101 #101","Dallas","75230","condo_coop","589","119900","153","1","1","786","1963","84","137550","60500","69000","HOA-condo_coop","","","","https://www.redfin.com/TX/Dallas/7832-Royal-Ln-75230/unit-101/home/30992632","21217736"
"9726 Amberton Pkwy","Dallas","75243","townhouse","420","202000","116","3","2","1742","1977","64","304850","125500","142500","HOA-townhouse","","","","https://www.redfin.com/TX/Dallas/9726-Amberton-Pkwy-75243/home/31109124","21237495"
"1130 Old Oaks Dr","Forney","75126","single_family_residential","30","226000","142","3","2","1587","2021","48","277725","131500","149500","HOA-single_family_residential","","","","https://www.redfin.com/TX/Forney/1130-Old-Oaks-Dr-75126/home/176526598","21255137"
"109 W Mountain Creek Dr #13 #13","Grand Prairie","75052","townhouse","220","166500","108","3","3","1540","1971","44","269500","110000","125000","HOA-townhouse","","","","https://www.redfin.com/TX/Grand-Prairie/109-W-Mountain-Creek-Dr-75052/unit-13/home/31579749","21251008"
"10437 High Hollows Dr #219 #219","Dallas","75230","condo_coop","873","224900","138","2","2.5","1626","1969","38","284550","135000","153500","HOA-condo_coop","","","","https://www.redfin.com/TX/Dallas/10437-High-Hollows-Dr-75230/unit-219/home/30995773","21265892"
"8601 Park Ln #721 #721","Dallas","75231","condo_coop","400","129900","159","1","1","816","1982","19","142800","63500","72000","HOA-condo_coop","","","","https://www.redfin.com/TX/Dallas/8601-Park-Ln-75231/unit-721/home/31193414","21283360"
"2108 Blake Ave","Dallas","75228","single_family_residential","0","284000","253","3","2","1122","1955","18","196350","90500","103000","likely-renovated(no spread)","","","","https://www.redfin.com/TX/Dallas/2108-Blake-Ave-75228/home/31014718","21284532"
